"pais","porcentaje","region"
"Afghanistan",19.1,"South Asia"
"Albania",1.5,"Europe"
"Algeria",2.7,"Africa"
"Angola",19,"Africa"
"Argentina",1.7,"South America"
"Armenia",2.6,"Middle East"
"Azerbaijan",4.9,"Middle East"
"Bangladesh",22.6,"South Asia"
"Barbados",3.5,"Central America and the Caribbean"
"Belgium",1,"Europe"
"Belize",4.6,"Central America and the Caribbean"
"Benin",16.8,"Africa"
"Bolivia",3.4,"South America"
"Bosnia and Herzegovina",1.6,"Europe"
"Bulgaria",1.9,"Europe"
"Burkina Faso",16.4,"Africa"
"Burma",19.1,"East and Southeast Asia"
"Burundi",27,"Africa"
"Cambodia",24.1,"East and Southeast Asia"
"Cameroon",11,"Africa"
"Central African Republic",20.5,"Africa"
"Chad",29.2,"Africa"
"Chile",0.5,"South America"
"China",2.4,"East and Southeast Asia"
"Colombia",3.7,"South America"
"Comoros",16.9,"Africa"
"Congo, Democratic Republic of the",23.1,"Africa"
"Congo, Republic of the",12.3,"Africa"
"Costa Rica",2.9,"Central America and the Caribbean"
"Cote d'Ivoire",12.8,"Africa"
"Cuba",2.4,"Central America and the Caribbean"
"Djibouti",29.9,"Africa"
"Dominican Republic",4,"Central America and the Caribbean"
"Ecuador",5.2,"South America"
"Egypt",7,"Africa"
"El Salvador",5,"Central America and the Caribbean"
"Equatorial Guinea",5.6,"Africa"
"Estonia",0.4,"Europe"
"Eswatini",5.8,"Africa"
"Ethiopia",21.1,"Africa"
"Gabon",6.4,"Africa"
"Gambia, The",11.6,"Africa"
"Gaza Strip",2.1,"Middle East"
"Georgia",2.1,"Middle East"
"Germany",0.5,"Europe"
"Ghana",12.6,"Africa"
"Guatemala",12.4,"Central America and the Caribbean"
"Guinea",16.3,"Africa"
"Guinea-Bissau",18.8,"Africa"
"Guyana",8.2,"South America"
"Haiti",9.5,"Central America and the Caribbean"
"Honduras",7.1,"Central America and the Caribbean"
"India",33.4,"South Asia"
"Indonesia",17.7,"East and Southeast Asia"
"Iran",4.1,"Middle East"
"Iraq",3.9,"Middle East"
"Jamaica",4.4,"Central America and the Caribbean"
"Jordan",3,"Middle East"
"Kazakhstan",2,"Central Asia"
"Kenya",11.2,"Africa"
"Kiribati",6.9,"Australia and Oceania"
"Korea, North",9.3,"East and Southeast Asia"
"Kuwait",3,"Middle East"
"Kyrgyzstan",1.8,"Central Asia"
"Laos",21.1,"East and Southeast Asia"
"Lesotho",10.5,"Africa"
"Liberia",10.9,"Africa"
"Libya",11.7,"Africa"
"Madagascar",26.4,"Africa"
"Malawi",9,"Africa"
"Malaysia",14.1,"East and Southeast Asia"
"Maldives",14.8,"South Asia"
"Mali",18.1,"Africa"
"Marshall Islands",11.9,"Australia and Oceania"
"Mauritania",19.2,"Africa"
"Mexico",4.7,"North America"
"Moldova",2.2,"Europe"
"Mongolia",1.8,"East and Southeast Asia"
"Montenegro",3.7,"Europe"
"Morocco",2.6,"Africa"
"Mozambique",15.6,"Africa"
"Namibia",13.2,"Africa"
"Nepal",24.4,"South Asia"
"Nicaragua",4.6,"Central America and the Caribbean"
"Niger",31.3,"Africa"
"Nigeria",18.4,"Africa"
"North Macedonia",0.9,"Europe"
"Oman",11.2,"Middle East"
"Pakistan",23.1,"South Asia"
"Panama",3,"Central America and the Caribbean"
"Papua New Guinea",27.8,"East and Southeast Asia"
"Paraguay",1.3,"South America"
"Peru",2.4,"South America"
"Philippines",19.1,"East and Southeast Asia"
"Poland",0.7,"Europe"
"Portugal",0.4,"Europe"
"Rwanda",7.7,"Africa"
"Saint Lucia",2.8,"Central America and the Caribbean"
"Samoa",3.4,"Australia and Oceania"
"Sao Tome and Principe",5.4,"Africa"
"Senegal",14.4,"Africa"
"Serbia",1,"Europe"
"Seychelles",3.6,"Africa"
"Sierra Leone",13.5,"Africa"
"Solomon Islands",16.2,"Australia and Oceania"
"Somalia",23,"Africa"
"South Africa",5.5,"Africa"
"Sri Lanka",20.5,"South Asia"
"Sudan",33,"Africa"
"Suriname",6.7,"South America"
"Tajikistan",7.6,"Central Asia"
"Tanzania",14.6,"Africa"
"Thailand",7.7,"East and Southeast Asia"
"Timor-Leste",37.5,"East and Southeast Asia"
"Togo",15.2,"Africa"
"Tonga",0.8,"Australia and Oceania"
"Trinidad and Tobago",4.9,"Central America and the Caribbean"
"Tunisia",1.6,"Africa"
"Turkey (Turkiye)",1.5,"Middle East"
"Turkmenistan",3.1,"Central Asia"
"Uganda",10.4,"Africa"
"United States",0.4,"North America"
"Uruguay",1.8,"South America"
"Uzbekistan",2.9,"Central Asia"
"Vanuatu",11.7,"Australia and Oceania"
"Vietnam",13.4,"East and Southeast Asia"
"West Bank",2.1,"Middle East"
"Yemen",39.9,"Middle East"
"Zambia",11.8,"Africa"
"Zimbabwe",9.7,"Africa"
